"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19575","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136176","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","279807"
"19576","Uttar Pradesh","Purchase of hospital equipment","WS/MP849/2024-2025/136179","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","249984"
"19577","Uttar Pradesh","Purchase of hospital equipment","WS/MP849/2024-2025/136180","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","249984"
"19578","Uttar Pradesh","Purchase of hospital equipment","WS/MP849/2024-2025/136181","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","249984"
"19579","Uttar Pradesh","Purchase of hospital equipment","WS/MP849/2024-2025/136182","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","249984"
"19580","Uttar Pradesh","Purchase of hospital equipment","WS/MP849/2024-2025/136183","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","26-Nov-2024","RAHISH WARSI","Payment Success","249984"
"19581","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/155041","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","11-Mar-2025","RAHISH WARSI","Payment Success","74402"
"19582","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136200","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","11-Mar-2025","RAHISH WARSI","Payment Success","428141"
"19583","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136169","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","849916"
"19584","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136088","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","849916"
"19585","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136090","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","749927"
"19586","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/137723","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","279807"
"19587","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP849/2024-2025/136184","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","243473"
"19588","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/137724","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","279807"
"19589","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136083","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","749927"
"19590","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136151","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Feb-2025","RAHISH WARSI","Payment Success","749927"
"19591","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/155039","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Feb-2025","RAHISH WARSI","Payment Success","100024"
"19592","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP849/2024-2025/139720","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Feb-2025","RAHISH WARSI","Payment Success","379550"
"19593","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136153","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","02-Jan-2025","RAHISH WARSI","Payment Success","949908"
"19594","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136152","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","02-Jan-2025","RAHISH WARSI","Payment Success","749927"
"19595","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP849/2024-2025/139720","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","30-Dec-2024","RAHISH WARSI","Payment Success","1120450"
"19596","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136155","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","02-Jan-2025","RAHISH WARSI","Payment Success","949908"
"19597","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136157","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","02-Jan-2025","RAHISH WARSI","Payment Success","849916"
"19598","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136158","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","02-Jan-2025","RAHISH WARSI","Payment Success","749927"
"19599","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP849/2024-2025/136184","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","18-Oct-2024","RAHISH WARSI","Payment Success","706256"
"19600","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61294","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19601","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61301","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19602","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61304","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19603","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/62241","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19604","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/62306","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19605","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61309","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19606","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61228","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19607","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61238","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","223729"
