"Sr. No.","Calamity Type","Calamity Name","Hon'ble Members of Parliament","Date of Consent","Consent Amount ( ₹ )"
"1","National Calamity","Meppadi landslides 2024","Andimuthu Raja","05-Feb-2025","2500000"
"Grand Total"," "," "," "," ","25,00,000"
