"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"747","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/148981","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","02-Jan-2026","M KARTHIKEYAN","Payment Success","925606"
"748","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2026-2027/254396","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","20-Jun-2026","PAULRAJ","Payment Success","799918"
"749","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2025-2026/179846","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","15-Sep-2025","Rajakumar","Payment Success","449831"
"750","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2025-2026/179847","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","15-Sep-2025","Rajakumar","Payment Success","499966"
"751","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2026-2027/246647","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","18-May-2026","VIJAAY","Payment Success","3168745"
"752","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202462","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","01-Sep-2025","RAJAGOPALREDDY VEMANNA","Payment Success","625000"
"753","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202466","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","02-Sep-2025","RAJAGOPALREDDY VEMANNA","Payment Success","625000"
"754","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202470","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","02-Sep-2025","GK ENTERPRISES","Payment Success","625000"
"755","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202473","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","02-Sep-2025","GK ENTERPRISES","Payment Success","625000"
"756","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202458","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","02-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
