"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"765","Normal/Others","WS/MP743/2025-2026/192850-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS Kaurnguzhi","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"766","Normal/Others","WS/MP743/2025-2026/192851-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS PANDUR","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"767","Normal/Others","WS/MP743/2025-2026/192876-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for ADWHSS MANAMAI","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"768","Normal/Others","WS/MP743/2025-2026/192877-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS vengampakkam","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"769","Normal/Others","WS/MP743/2025-2026/192881-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS(G) Thirukalukundram","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"770","Normal/Others","WS/MP743/2025-2026/192882-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for ADWHSS, Kilambakkam","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"771","Normal/Others","WS/MP743/2025-2026/192887-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Kayarambedu","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"772","Normal/Others","WS/MP743/2025-2026/192893-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for ADWHSS, PALUR","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"773","Normal/Others","WS/MP743/2025-2026/192894-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS (GIRLS) CHENGALPATTU","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"774","Normal/Others","WS/MP743/2025-2026/192896-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS ASTHINAPURAM","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"775","Normal/Others","WS/MP743/2025-2026/193288-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS (Boys) Nandhivaram","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"776","Normal/Others","WS/MP743/2025-2026/193291-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Kattankolathur","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"777","Normal/Others","WS/MP743/2025-2026/193293-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Peramanur","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"778","Normal/Others","WS/MP743/2025-2026/193294-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHSS Singaperumalkoil","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"779","Normal/Others","WS/MP743/2025-2026/193296-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Kandigai","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"780","Normal/Others","WS/MP743/2025-2026/193299-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Rathinamangalam","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"781","Normal/Others","WS/MP743/2025-2026/193343-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Karunilam","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"782","Normal/Others","WS/MP743/2025-2026/193349-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS Thirukatchur","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"783","Normal/Others","WS/MP743/2025-2026/193351-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for GHS MM Nagar","22-May-2025","08-Oct-2025","25000","Physical Inspection"
"784","Normal/Others","WS/MP743/2025-2026/195553-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for Branch library sembakkam kulakarai street","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"785","Normal/Others","WS/MP743/2025-2026/195554-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books for Branch library Mamallapuram","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"786","Normal/Others","WS/MP743/2025-2026/195569-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library Othavadai street, Karunkuzhi panchayat","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"787","Normal/Others","WS/MP743/2025-2026/195570-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library Kadalurgramam","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"788","Normal/Others","WS/MP743/2025-2026/195571-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library Kalaignar nagar Mannivakam","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"789","Normal/Others","WS/MP743/2025-2026/195574-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library Perunkalathur","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"790","Normal/Others","WS/MP743/2025-2026/195576-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library Guduvancheri","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"791","Normal/Others","WS/MP743/2025-2026/195577-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books and periodicals for Branch library nandhivaram Guduvancheri","22-May-2025","18-Jun-2025","50000","Physical Inspection"
"792","Normal/Others","WS/MP743/2025-2026/202563-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books at Arpakkam Village Library, Kanchipuram District.","22-May-2025","20-Nov-2025","50000","Physical Inspection"
"793","Normal/Others","WS/MP743/2025-2026/202565-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchase of Books at Orikkai Library, Kanchipuram Corporation, Kanchipuram District.","22-May-2025","20-Nov-2025","50000","Physical Inspection"
"794","Normal/Others","WS/MP459/2025-2026/201956-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Providing Bools for Chennai Corporation Middle Schools - 75 Schools","21-May-2025","26-Feb-2026","600000","Work partially Completed"
"795","Normal/Others","WS/MP746/2025-2026/212906-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","Purchase of Books in Schools and libraries. Author Thiru.A.Koppanna","27-Jun-2025","25-Nov-2025","500000","Work Completed"
"796","Normal/Others","WS/MP751/2025-2026/239150-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Purchase of Books  Ward No 31, Doctor Thangaraj Salai, Study Centre (2025-2026)","30-Sep-2025","27-Jan-2026","82950","Physical Inspection"
"797","Normal/Others","WS/MP18384/2025-2026/241498-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","Supply of Furniture for Pullamangalam Govt. Hr. Sec. School Library in Pullamangalam Panchayat","10-Oct-2025","08-Dec-2025","200000","Physical Inspection"
"798","Normal/Others","WS/MP758/2026-2027/256771-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of books (Maamanidhar Nehru History and Kamarajar oru Sagaaptham) for Libraries in Aravakkurichi, Krishnarayapuram and Karur","02-Jan-2026","06-Jul-2026","300000","Physical Inspection"
"799","Normal/Others","WS/MP758/2025-2026/256773-Purchase of books and periodicals for libraries/digitization of library books","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","Purchase of books (Maamanidhar Nehru History and Kamarajar oru Sagaaptham) for Libraries in Pudukkottai","02-Jan-2026","14-Mar-2026","100000","Vendor Identification"
"800","Normal/Others","WS/MP18176/2024-2025/139718-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF SEMMETTUPATTI ANGANWADI BUILDING","09-Sep-2024","20-Sep-2024","1653634","Physical Inspection"
"801","Normal/Others","WS/MP18176/2024-2025/139742-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF KARIYAMPATTY MUTHU NAGAR ANGANWADI BUILDING","09-Sep-2024","16-Sep-2024","1655000","Work partially Completed"
"802","Normal/Others","WS/MP18176/2024-2025/139946-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF Kullalagundu @ Kalladipatty ANGANWADI BUILDING","09-Sep-2024","16-Sep-2024","1652193","Physical Inspection"
"803","Normal/Others","WS/MP18176/2024-2025/139958-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF Solakulaththupatty ANGANWADI BUILDING","09-Sep-2024","20-Sep-2024","1698995","Physical Inspection"
"804","Normal/Others","WS/MP740/2025-2026/140344-Construction of buildings for crèches and anganwadies","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of Anganvadi Building at Tirumurugan poondi Town (Ward No 23)","11-Sep-2024","27-Nov-2025","1200000","Physical Inspection"
"805","Normal/Others","WS/MP18394/2024-2025/148069-Construction of buildings for crèches and anganwadies","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of anganwadie Ward No.8 Paramathi Town Panchayat","17-Oct-2024","12-Dec-2024","1800000","Physical Inspection"
"806","Normal/Others","WS/MP18175/2024-2025/149209-Construction of buildings for crèches and anganwadies","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Construciton of Anganwadi Building at Sekkandahalli village Kambainallur Town Panchayat","23-Oct-2024","12-Dec-2024","1655000","Physical Inspection"
"807","Normal/Others","WS/MP18175/2024-2025/149219-Construction of buildings for crèches and anganwadies","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Construciton of Angwadi building at Pudhu reddiyur Kadathur Town Panchayat","23-Oct-2024","19-Dec-2024","1655000","Physical Inspection"
"808","Normal/Others","WS/MP458/2024-2025/150087-Construction of buildings for crèches and anganwadies","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Anganwadi centre at Punnakayal Panchayat in Alwarthirunagari Union","02-Nov-2024","25-Mar-2025","1749114","Physical Inspection"
"809","Normal/Others","WS/MP755/2025-2026/151519-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of an Anganwadi Building.","09-Nov-2024","12-Apr-2025","1549952","Physical Inspection"
"810","Normal/Others","WS/MP18312/2025-2026/154884-Construction of buildings for crèches and anganwadies","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","Construction of Anganwadi (ICDS) near Subramaniyapuram reservoir at Ward no:47 in TCC (2024-25).","27-Nov-2024","15-Oct-2025","1574803","Physical Inspection"
"811","Normal/Others","WS/MP755/2025-2026/156753-Construction of buildings for crèches and anganwadies","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of ICDS Building.","03-Dec-2024","27-Feb-2026","3708000","Work Completed"
"812","Normal/Others","WS/MP740/2025-2026/160530-Construction of buildings for crèches and anganwadies","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of Anganvadi Building at Machinamkombai H/O Machinamkombai Panchayat","11-Jan-2025","25-Feb-2026","1399935","Physical Inspection"
"813","Normal/Others","WS/MP755/2024-2025/163248-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of an Anganwadi Building.","02-Jan-2025","27-Mar-2025","1700000","Physical Inspection"
"814","Normal/Others","WS/MP18312/2025-2026/163795-Construction of buildings for crèches and anganwadies","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","Construction of Anganwadi Building at Eegai Nagar in Keeranur TP.","06-Jan-2025","03-Jul-2025","1400000","Work Completed"
"815","Normal/Others","WS/MP393/2025-2026/167698-Construction of buildings for crèches and anganwadies","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","Construction of Anganwadi Building at 21st ward, Manamadurai Municipality","23-Jan-2025","23-Dec-2025","1100000","Physical Inspection"
"816","Normal/Others","WS/MP18181/2025-2026/179577-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","Construction of Anganwadi Building at ward no.7 Kalishiwari mill street in Vetteikaranpudhur Town Panchayat","06-Mar-2025","30-Sep-2025","1500000","Physical Inspection"
"817","Normal/Others","WS/MP18176/2025-2026/181969-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Dindigul corporation 11th ward palani road near town hospital Anganwadie building","14-Mar-2025","17-Dec-2025","1700000","Work Completed"
"818","Normal/Others","WS/MP18174/2025-2026/184624-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Construction of ICDS Cente No.412 and 413 at Avarampalayam Road (Perumal Koil Side) in Ward No.27, North Zone of Coimbatore Corporation","20-Mar-2025","19-Feb-2026","2200000","Work Completed"
"819","Normal/Others","WS/MP18181/2025-2026/185235-Construction of buildings for crèches and anganwadies","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","Construction of Anganwadi Building in Ward no.12  Ruthrapalayam at Sankaramanallur Town Panchayat","21-Mar-2025","12-Dec-2025","1400000","Work Completed"
"820","Normal/Others","WS/MP18176/2025-2026/192968-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Batlagundu Town panchayat 12th ward Arunachalapuram Construction of buildings anganwadie Center","21-Apr-2025","08-Dec-2025","1700000","Work Completed"
"821","Normal/Others","WS/MP18176/2025-2026/193005-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Nilakkottai Vilampatty Panchayat Construction of buildings  anganwadies","21-Apr-2025","24-Sep-2025","1700000","Work partially Completed"
"822","Normal/Others","WS/MP18185/2026-2027/195492-Construction of buildings for crèches and anganwadies","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of Anganwadi Building at Ward No.14,  Veedavar Street, in Keelapavoor Townpanchayat in Tenkasi District","03-May-2025","15-May-2026","1200000","Physical Inspection"
"823","Normal/Others","WS/MP18176/2025-2026/198956-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","senthurai Panchayat Palanipatty Anganwadie Building","13-May-2025","22-Dec-2025","1689572","Physical Inspection"
"824","Normal/Others","WS/MP394/2026-2027/208215-Construction of buildings for crèches and anganwadies","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","mangammal salayil","11-Jun-2025","19-May-2026","1480000","Physical Inspection"
"825","Normal/Others","WS/MP18174/2026-2027/221514-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Construction of Arch Entrance to the Corporation Middle School at Masakkalipalayam in Ward No.53 of Coimbatore Corporation","23-Jul-2025","31-Jul-2026","800000","Physical Inspection"
"826","Normal/Others","WS/MP18181/2025-2026/222363-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","Construction of ICDS centre at Vennila Hospital road (centre no.415) in ward no.78 South zone of Coimbatore corporation","25-Jul-2025","09-Jan-2026","1500000","Work Completed"
"827","Normal/Others","WS/MP18265/2025-2026/222899-Construction of buildings for crèches and anganwadies","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Construction of Anganwadi building at Niramani village - Aadhi dravidar area","28-Jul-2025","19-Feb-2026","1648838","Physical Inspection"
"828","Normal/Others","WS/MP18185/2026-2027/223232-Construction of buildings for crèches and anganwadies","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of Anganwadi Building at Palayamchettikulam Panchayat in Palayamkottai Panchayat Union.","31-Jul-2025","28-Jul-2026","1600000","Work partially Completed"
"829","Normal/Others","WS/MP394/2026-2027/231389-Construction of buildings for crèches and anganwadies","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","Nalloor anganwadi","04-Sep-2025","18-Jun-2026","1710000","Work partially Completed"
"830","Normal/Others","WS/MP755/2025-2026/246207-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of an Anganwadi Building.","26-Nov-2025","31-Jan-2026","1725000","Work partially Completed"
"831","Normal/Others","WS/MP18176/2025-2026/246742-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Agaram Town Panchayat 5th Ward sukkapatti Anganwadi Building. Year 2024 - 2025","07-Nov-2025","20-Feb-2026","1600000","Work partially Completed"
"832","Normal/Others","WS/MP758/2025-2026/256942-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","Construction of Anganwadi building at Malaipatti Paganatham panchayat, Vadamadurai Union","03-Jan-2026","13-Feb-2026","1700000","Work partially Completed"
"833","Normal/Others","WS/MP457/2026-2027/287030-Construction of buildings for crèches and anganwadies","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Construction of Anganwadi at Kanai Adi Dravidar area, of viluppuram Taluk","19-Jun-2026","16-Jul-2026","1300000","Sanction"
"834","Normal/Others","WS/MP18177/2026-2027/291337-Construction of buildings for crèches and anganwadies","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","K E PRAKASH","ERODE","Demolition of the Dilapidated Building and Construction of a New Building for Anganwadi Centre No. 09AP098PN IN Alamedu,Alampalayam,ward no :8","25-Jul-2026","08-Aug-2026","1900000","Sanction"
"835","Normal/Others","WS/MP18181/2026-2027/305122-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","Construction of Anganwadi Building (Centre No.108) at Arunachalam Street in W.No.72 West Zone of Coimbatore Corporation","18-Aug-2026","21-Aug-2026","1500000","Physical Inspection"
"836","Normal/Others","WS/MP743/2024-2025/143062-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Thammanur Govt.High School in Kanchipuram Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"837","Normal/Others","WS/MP743/2024-2025/143063-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Ekanampettai Govt.Girls.Hr.sec.School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"838","Normal/Others","WS/MP743/2024-2025/143067-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for ADW Hr.sec. School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"839","Normal/Others","WS/MP743/2024-2025/143068-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Singadivakkam Govt.Hr.sec. School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"840","Normal/Others","WS/MP743/2024-2025/143069-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Govindavadi Govt.Hr.sec.School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"841","Normal/Others","WS/MP743/2024-2025/143070-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Uthukadu VSA Govt.High School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"842","Normal/Others","WS/MP743/2024-2025/143071-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Pullalur Govt.Hr.sec. School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"843","Normal/Others","WS/MP743/2024-2025/143072-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Manampathy Govt.Hr.sec. School in Uthiramerur Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
