"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"19","Normal/Others","WS/MP18183/2024-2025/140747-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of New PDS Building at Public Land, Kalaignar Nagar, Vilar Panchayat","14-Sep-2024","27-Feb-2025","1309024","Physical Inspection"
"20","Normal/Others","WS/MP18183/2024-2025/140748-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of new PDS building at Saraboji Nagar, Nilgiri Panchayat,thanjavur","14-Sep-2024","27-Feb-2025","1303191","Physical Inspection"
"21","Normal/Others","WS/MP18183/2024-2025/140767-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","construction new PDS Building  in Thennamanadu Panchayat,orathanadu","14-Sep-2024","27-Feb-2025","1349388","Physical Inspection"
"22","Normal/Others","WS/MP18183/2024-2025/140768-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction New PDS Building  at Neivasal Panchayat, Orathanadu","14-Sep-2024","27-Feb-2025","1349703","Physical Inspection"
"23","Normal/Others","WS/MP18183/2024-2025/140772-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","Construction of New PDS Building in Thenparai Panchayat,mannargudi,thiruvarur","14-Sep-2024","18-Feb-2025","1186136","Physical Inspection"
"24","Normal/Others","WS/MP18183/2025-2026/140775-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","Construction of New PDS Building in Pullavarayan kudikadu Panchayat,needamangalam, mannargudi","14-Sep-2024","30-Jul-2025","1308423","Physical Inspection"
"25","Normal/Others","WS/MP745/2025-2026/141314-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","gobi, ayalur uratchi, consraction of new building","16-Sep-2024","28-Aug-2025","1034903","Physical Inspection"
"26","Normal/Others","WS/MP457/2024-2025/141463-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Fair Price Shop / Ration Shop in Kanai Colony of Kanai Panchayat, Viluppuram. Vikravandi Assembly Segment.","20-Sep-2024","21-Oct-2024","978693","Physical Inspection"
"27","Normal/Others","WS/MP743/2025-2026/142092-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Community Hall at Naickenkuppam Panchayat, Walajabad Panchayat Union.","20-Sep-2024","12-Apr-2025","3993140","Physical Inspection"
"28","Normal/Others","WS/MP743/2025-2026/142804-Construction of community centers and community halls","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of PDS Building at Athimanam Panchayat.","23-Sep-2024","31-Dec-2025","799676","Physical Inspection"
"29","Normal/Others","WS/MP743/2025-2026/142808-Construction of community centers and community halls","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of PDS Buildings at Panakkattupakkam Panchayat, Thiruporur Panchayat Union.","23-Sep-2024","30-Apr-2025","1010707","Physical Inspection"
"30","Normal/Others","WS/MP18183/2024-2025/143304-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of New PDS Building at Awaidayanikottai, Mutugadu Panchayat","24-Sep-2024","30-Sep-2024","1268887","Physical Inspection"
"31","Normal/Others","WS/MP745/2025-2026/144827-Construction of community centers and community halls","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","TIRUPPUR","Construction of community Hall H/O vallipuram panchayat.","30-Sep-2024","20-Feb-2026","5295000","Work Completed"
"32","Normal/Others","WS/MP458/2025-2026/149731-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Kodukkamparai Panchayat in Kovilpatti Panchayat Union","02-Nov-2024","29-Sep-2025","4000000","Physical Inspection"
"33","Normal/Others","WS/MP458/2025-2026/150052-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Arunthathiyar Street in Mettilpatti Village and Panchayat in Pudur panchayat Union","02-Nov-2024","23-Jun-2025","1999892","Physical Inspection"
"34","Normal/Others","WS/MP755/2024-2025/151522-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of a Ration Shop.","09-Nov-2024","27-Mar-2025","1399631","Physical Inspection"
"35","Normal/Others","WS/MP18265/2025-2026/152004-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","consturction of Multi Purposes building at Ramapuram Panchayat, valluvar colony.","11-Nov-2024","24-Jun-2025","1319009","Physical Inspection"
"36","Normal/Others","WS/MP18265/2025-2026/152005-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","construction of Multi purposes Building","11-Nov-2024","24-Jun-2025","1349643","Physical Inspection"
"37","Normal/Others","WS/MP18265/2025-2026/152008-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Construction of Multi Purposes building  at kumlankullam panchayat, Naduvirapattu colony.","11-Nov-2024","24-Jun-2025","1346657","Physical Inspection"
"38","Normal/Others","WS/MP747/2025-2026/152182-Construction of community centers and community halls","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","Construction of Additional Work in Sivagnanapuram Community Hall at Sivagnanapuram Village and Panchayat.","03-Dec-2024","02-Apr-2025","999395","Physical Inspection"
"39","Normal/Others","WS/MP18265/2025-2026/152624-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Construction of New Public Distribution shop building in ward No. 37 - Cuddalore City Municipal Corporation","15-Nov-2024","17-Oct-2025","1800000","Sanction"
"40","Normal/Others","WS/MP18265/2025-2026/152625-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Construction of New Public Distribution shop building in ward No 7, Manjakuppam,Cuddalore city municipal corporation","15-Nov-2024","17-Oct-2025","1800000","Sanction"
"41","Normal/Others","WS/MP18265/2025-2026/152626-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Construction of New Public Distribution shop building in ward no 19, Pudhupalayam  cuddalore city municipal corporation","15-Nov-2024","19-Aug-2025","1800000","Work partially Completed"
"42","Normal/Others","WS/MP755/2024-2025/152821-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of 1st Floor for the Community Hall.","16-Nov-2024","27-Mar-2025","4997916","Physical Inspection"
"43","Normal/Others","WS/MP18394/2024-2025/153069-Construction of community centers and community halls","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of Fair Price Shop Building near Pandamangalam PACS at Pandamangalam Town Panchayat","18-Nov-2024","28-Nov-2024","1525000","Physical Inspection"
"44","Normal/Others","WS/MP18265/2025-2026/155926-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","To construction of new Ration shop in Kovilur panchayat near panchayat office","06-Dec-2024","24-Jun-2025","300000","Physical Inspection"
"45","Normal/Others","WS/MP18265/2025-2026/155928-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","To construction of new Ration shop in Venkarumbur panchayat at SRP Nagar","06-Dec-2024","24-Jun-2025","298738","Physical Inspection"
"46","Normal/Others","WS/MP18265/2025-2026/155932-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","construction of multi purpose center @ Paithambadi village Paithambadi Panchayat in Annagramam Block","06-Dec-2024","24-Jun-2025","899348","Physical Inspection"
"47","Normal/Others","WS/MP18265/2025-2026/157239-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","construction of multi purpose center @ Thattampalayam Village Thattampalayam Panchayat in Annagramam Block","06-Dec-2024","24-Jun-2025","898954","Physical Inspection"
"48","Normal/Others","WS/MP457/2024-2025/159003-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Construction of Ration Shop in Thandirayan kuppam in kottakuppam of Vanur Taluk","16-Dec-2024","15-Feb-2025","979369","Physical Inspection"
"49","Normal/Others","WS/MP017/2026-2027/160046-Construction of community centers and community halls","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","Construction of Multi Purpose Building at Ward no 19,First Main Road","19-Dec-2024","04-Aug-2026","700000","Physical Inspection"
"50","Normal/Others","WS/MP740/2025-2026/160526-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of Part Time PD Shop Building at Ward No 7 Coolies line H/O Bhavani Sagar Town Panchayat","11-Jan-2025","19-Aug-2025","1230000","Physical Inspection"
