"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Compound Wall and Other Work In rural Vetrinery Dispencery at Velanchery Village","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2024","996610"
"2","Normal/Others","WS/MP017/2024-2025/143500-Renovation of ponds and lakes","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work","S. Jagathrakshakan","ARAKKONAM","N/A","26-Oct-2024","999654"
"3","Normal/Others","WS/MP017/2025-2026/156775-Construction of bus-sheds or bus-stops","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Bus Stop near Bus depot connecting Arakkonam Road","S. Jagathrakshakan","ARAKKONAM","N/A","12-Feb-2026","2300000"
"4","Normal/Others","WS/MP017/2026-2027/160023-Construction of road under bridge","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement road and bridge near Erimannur village","S. Jagathrakshakan","ARAKKONAM","Images","21-Aug-2026","3389297"
"5","Normal/Others","WS/MP017/2025-2026/160025-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement Road on the way to Burial Ground near Reddivalam","S. Jagathrakshakan","ARAKKONAM","N/A","18-Jun-2025","749826"
"6","Normal/Others","WS/MP017/2026-2027/160027-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of fair price shop in perur kaveripakkam","S. Jagathrakshakan","ARAKKONAM","Images","04-Aug-2026","1650000"
"7","Normal/Others","WS/MP017/2025-2026/160030-Construction of buildings for crèches and anganwadies","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Anganwadi Building at Ward no22- MarketSchool","S. Jagathrakshakan","ARAKKONAM","Images","01-Sep-2025","1749689"
"8","Normal/Others","WS/MP017/2025-2026/160031-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Constrution of Paver block in Community health center Melvisharam","S. Jagathrakshakan","ARAKKONAM","Images","26-Jun-2025","1598588"
"9","Normal/Others","WS/MP017/2024-2025/160038-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of fair Price Shop Sriram nagar","S. Jagathrakshakan","ARAKKONAM","Images","15-Oct-2025","1199784"
"10","Normal/Others","WS/MP017/2024-2025/160039-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Cement road at Thanigaipolur,Melkandigai village","S. Jagathrakshakan","ARAKKONAM","Images","19-Mar-2025","1498638"
"11","Normal/Others","WS/MP017/2025-2026/160041-Construction of rooms and halls in school and colleges","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Head master Room at Saynapuram Government School and Paver block installation","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2025","1297974"
"12","Normal/Others","WS/MP017/2025-2026/160042-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement road at MAdurputhu kandigai village on way to Burial ground","S. Jagathrakshakan","ARAKKONAM","N/A","18-Jun-2025","599919"
"13","Normal/Others","WS/MP017/2025-2026/160043-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Storm water Drain at ward no 2","S. Jagathrakshakan","ARAKKONAM","Images","14-Jun-2025","350000"
"14","Normal/Others","WS/MP017/2025-2026/160048-Construction of common work sheds/ common covered sitting area","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Shelter","S. Jagathrakshakan","ARAKKONAM","Images","23-Oct-2025","799382"
"15","Normal/Others","WS/MP017/2025-2026/160052-Construction of toilet blocks","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Toilet","S. Jagathrakshakan","ARAKKONAM","N/A","18-Feb-2026","599528"
"16","Normal/Others","WS/MP017/2025-2026/160053-Construction of public toilets and bathrooms","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Public Toilet","S. Jagathrakshakan","ARAKKONAM","Images","07-Mar-2026","500000"
"17","Normal/Others","WS/MP017/2025-2026/160054-Construction of public toilets and bathrooms","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Public Toilet","S. Jagathrakshakan","ARAKKONAM","Images","03-Jul-2025","500000"
"18","Normal/Others","WS/MP017/2025-2026/160057-Construction of bus-sheds or bus-stops","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","construction of bus shed","S. Jagathrakshakan","ARAKKONAM","N/A","03-Jul-2025","647735"
"19","Normal/Others","WS/MP017/2025-2026/160058-Construction of boundary walls of existing public and community buildings","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Boundary walls and Paver block","S. Jagathrakshakan","ARAKKONAM","N/A","08-Oct-2025","649986"
"20","Normal/Others","WS/MP017/2025-2026/161188-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of retaining Wall","S. Jagathrakshakan","ARAKKONAM","N/A","10-Jun-2025","999907"
"21","Normal/Others","WS/MP017/2024-2025/166510-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Retainning Wall around Kosasthali River near Sangeetkuppam","S. Jagathrakshakan","ARAKKONAM","N/A","20-Feb-2025","989987"
"22","Normal/Others","WS/MP017/2025-2026/166511-Construction of buildings for community cultural activities","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of kaliyarangam at Govt High School karimbedu panchayat in pallipet union ,Tiruvallur District","S. Jagathrakshakan","ARAKKONAM","N/A","02-Apr-2025","664853"
"23","Normal/Others","WS/MP017/2024-2025/166512-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Multi Purpose Building at draupadi Amman Koil Street","S. Jagathrakshakan","ARAKKONAM","N/A","27-Jan-2025","1199072"
"24","Normal/Others","WS/MP017/2025-2026/169198-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Fair Price Shop","S. Jagathrakshakan","ARAKKONAM","Images","13-Oct-2025","1950000"
"25","Normal/Others","WS/MP017/2025-2026/170398-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Caonstruction of Cement road at rendadi","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2025","499000"
"26","Normal/Others","WS/MP017/2025-2026/202449-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","cement road","S. Jagathrakshakan","ARAKKONAM","Images","18-Mar-2026","2500000"
"27","Normal/Others","WS/MP017/2026-2027/206109-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","construction of Multi Purpose Building at","S. Jagathrakshakan","ARAKKONAM","Images","14-May-2026","614970"
"28","Normal/Others","WS/MP017/2025-2026/208477-Providing drains and gutters for public drainage","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of drainage at Vallalar Nagar","S. Jagathrakshakan","ARAKKONAM","N/A","08-Dec-2025","999738"
"29","Normal/Others","WS/MP017/2026-2027/235387-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of cement Road in Meleri village","S. Jagathrakshakan","ARAKKONAM","Images","30-Jul-2026","399580"
"30","Normal/Others","WS/MP017/2026-2027/235388-Construction of bus-sheds or bus-stops","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Bus shed in Velithangipuram","S. Jagathrakshakan","ARAKKONAM","Images","30-Jul-2026","844725"
"31","Normal/Others","WS/MP017/2025-2026/238010-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of cement Road in Nagavedu","S. Jagathrakshakan","ARAKKONAM","N/A","16-Mar-2026","499699"
"32","Normal/Others","WS/MP017/2025-2026/238011-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of cement Road in Illupai thandalam","S. Jagathrakshakan","ARAKKONAM","N/A","17-Mar-2026","399936"
"33","Normal/Others","WS/MP017/2026-2027/238012-Providing CCTV camera system for security of public areas","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Installation of CCTV camera in Ward3,4 and 7","S. Jagathrakshakan","ARAKKONAM","Images","12-Aug-2026","375000"
"34","Normal/Others","WS/MP017/2025-2026/255563-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Kitchen room in kancheepuram Street","S. Jagathrakshakan","ARAKKONAM","N/A","12-Jan-2026","1500000"
"35","Normal/Others","WS/MP391/2025-2026/146422-Construction of buildings for sports facilities","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","CONSTRUCTION OF BOXING ACADEMY BUILDING IN GOPALAPURAM WARD 111, PART 25, ZONE 9 OF CHENNAI CENTRAL CONSITUENCY","Thiru Dayanidhi Maran","CHENNAI CENTRAL","Images","10-Dec-2025","9749010"
"36","Normal/Others","WS/MP391/2025-2026/166885-Lighting of public spaces","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","SETTING UP HIGH MAST LAMPS IN THIDEER NAGAR","Thiru Dayanidhi Maran","CHENNAI CENTRAL","Images","21-Jul-2025","977964"
"37","Normal/Others","WS/MP391/2025-2026/166886-Construction of buildings for sports facilities","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","CONSTRUCTION OF BADMINTON COURT","Thiru Dayanidhi Maran","CHENNAI CENTRAL","Images","22-Jan-2026","4910484"
"38","Normal/Others","WS/MP391/2025-2026/211751-Development of playground","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Forming of Boxing Accadamy inside a part of the Gopalapuram playground in  Dn-111, Unit 25, Zone -9, Chepauk Triplcane","Thiru Dayanidhi Maran","CHENNAI CENTRAL","Images","10-Dec-2025","9931275"
"39","Normal/Others","WS/MP393/2024-2025/140635-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","thirupuvanam town panchayat (mplads 2022-23) 16th ward chinna muthumariamman kovil near mini mast light","Shri Karti P Chidambaram","SIVAGANGA","Images","24-Sep-2024","500000"
"40","Normal/Others","WS/MP393/2024-2025/143044-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2023-24)Near TV Room Paver Block Road in Peyanpatti Village, Koviloor Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","16-Oct-2024","199871"
"41","Normal/Others","WS/MP393/2024-2025/143045-Construction of buildings for community cultural activities","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2023-24)Near Sivan Kovil Drama Stage in Alangudi Village, Alangudi Panchayat. Kallal Block","Shri Karti P Chidambaram","SIVAGANGA","Images","25-Jan-2025","849864"
"42","Normal/Others","WS/MP393/2024-2025/143046-Construction of public toilets and bathrooms","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS2023-24) Near Sivankovil in Bathtube in Kmbanur Village, Kambanur Panchayat. Kallal block","Shri Karti P Chidambaram","SIVAGANGA","Images","16-Oct-2024","149904"
"43","Normal/Others","WS/MP393/2024-2025/143061-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2021-22) Paver Block Road in Ice keni Street,Keela Street, Karaikudi Municipality","Shri Karti P Chidambaram","SIVAGANGA","N/A","23-Oct-2024","200000"
"44","Normal/Others","WS/MP393/2024-2025/144135-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MP LADS 2022 -23) Construction of Paver Block Road in Indra Nagar in Thotiyampatti Village, Thotiyampatti Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","07-Oct-2024","499315"
"45","Normal/Others","WS/MP393/2024-2025/144136-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2022-23) Construction of Paver Block Road in Peyar Kudiyuruppu, Keelathur Village, Keelathur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Oct-2024","199674"
"46","Normal/Others","WS/MP393/2024-2025/145379-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MP LADS 2022-23) Constriction of  Near Community Hall in Dining Hall in Alangadu Village, Alangadu Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Oct-2024","299787"
"47","Normal/Others","WS/MP393/2024-2025/144442-Installing community drinking water plants","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing in (MPLADS 2021-22) R.O.Plant near Gowri Vinayagar Kovil, Thambipatti, Thirupathur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","10-Oct-2024","350000"
"48","Normal/Others","WS/MP393/2024-2025/148973-Construction of public toilets and bathrooms","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2022-23) Bath tube near Kaveripatti Cemetery  in South Ilayathankudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","05-Nov-2024","199969"
"49","Normal/Others","WS/MP393/2024-2025/148975-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2021-22) Paver Block Road in S.S.Nagar in Singampunari Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","07-Nov-2024","200000"
"50","Normal/Others","WS/MP393/2024-2025/152373-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2022-23) Construction  Paver Block Road in thrkupatti Sarkar well Nadesan House end as Pallathuviduthi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","19-Nov-2024","499714"
"51","Normal/Others","WS/MP393/2025-2026/164270-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MP lads 2024 - 25 Contraction of Paver Block Road in Near  Shree AKATHEESHWARAR BHAIRAVAR Temple in V KOTTAIYUR Village KOTTAIYUR PANCHAYATH","Shri Karti P Chidambaram","SIVAGANGA","Images","01-Aug-2025","499332"
"52","Normal/Others","WS/MP393/2025-2026/164271-Installing tube-wells and borewells","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MP Lads 2024 - 25 Contraction of Bore well and BATH TUB Sc Colony In Peraiyur Village And Peraiyur Panchayath","Shri Karti P Chidambaram","SIVAGANGA","N/A","04-Jul-2025","399052"
"53","Normal/Others","WS/MP393/2025-2026/164272-Construction of bus-sheds or bus-stops","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Mp Lads 2024 - 25 Contraction Of Bus stop in Near Santhapettai  Ravayaram Panchayath","Shri Karti P Chidambaram","SIVAGANGA","N/A","24-Oct-2025","599654"
"54","Normal/Others","WS/MP393/2025-2026/164273-Construction of buildings for community cultural activities","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MP Lads 2024-25 Contraction of Drama Stage Near MARAIYAMMAN KOVIL SAMUDRAM Village And SAMUDRAM PANCHAYATH","Shri Karti P Chidambaram","SIVAGANGA","N/A","22-Sep-2025","698935"
"55","Normal/Others","WS/MP393/2025-2026/164274-Construction of buildings for community cultural activities","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Mp Lads 2024 - 2025 Contraction Of Near Mariyamman Kovil Posampatti Village and Valarmanickam Panchayath","Shri Karti P Chidambaram","SIVAGANGA","N/A","28-Oct-2025","699414"
"56","Normal/Others","WS/MP393/2025-2026/164339-Construction of buildings for community cultural activities","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Mp Lads 2024 - 25 Contraction of Drama Stage Near Shree Karpaga Vinayagar Temple in Sc Colony Aanaipatti Village And Arasapatti Panchayath","Shri Karti P Chidambaram","SIVAGANGA","N/A","10-Oct-2025","618803"
"57","Normal/Others","WS/MP393/2025-2026/164308-Construction of boundary walls of existing public and community buildings","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Mp Lads 2024 - 25 Construction of 14 Ward Near Meenakshipuram Government Primary School Compound Wall in Arimalam Town Panchayath","Shri Karti P Chidambaram","SIVAGANGA","Images","12-Jun-2025","500000"
"58","Normal/Others","WS/MP393/2025-2026/164310-Lighting of public spaces","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Mp Lads 2024 - 25 Providing of 2Ward Malaiyandi Temple Near Vadapuram Drama Stage In Mini Mast Light in Ponnamaravathi Town Panchayath","Shri Karti P Chidambaram","SIVAGANGA","Images","24-Jul-2025","488441"
"59","Normal/Others","WS/MP393/2025-2026/167520-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Bus Shelter at Keelarankiyam Panchayat in Thiruppuvanam Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","22-Sep-2025","598675"
"60","Normal/Others","WS/MP393/2025-2026/167521-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of PDS Outlet at Madapuram Village, Madapuram Panchayat in Thiruppuvanam Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","24-Mar-2026","992411"
"61","Normal/Others","WS/MP393/2025-2026/167522-Construction of buildings for community cultural activities","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Drama Stage near Vennimuthu Ayyanarkovil, Kanjirankulam Village, Kanjirankulam panchayat in Thiruppuvanam Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","15-Nov-2025","942706"
"62","Normal/Others","WS/MP393/2025-2026/167523-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near Kothankulam Ayyanarkovil, Keelasorikulam Panchayat in Thiruppuvanam Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","14-Oct-2025","499737"
"63","Normal/Others","WS/MP393/2025-2026/167525-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Bus Shelter at Eariyur main road Melur Government Higher Secondary School, Jeyankondanilai Village, Jeyankondanilai Panchayat in Singampunari Block.","Shri Karti P Chidambaram","SIVAGANGA","N/A","26-Feb-2026","590118"
"64","Normal/Others","WS/MP393/2025-2026/167526-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near Pushpanaunatha kovil, Periya Avarankadu Panchayat in Manamadurai Block","Shri Karti P Chidambaram","SIVAGANGA","Images","04-Jul-2025","499627"
"65","Normal/Others","WS/MP393/2025-2026/167606-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing High mass light near Pandiyan Nagar, Sankarapuram in Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","N/A","28-Mar-2026","785071"
"66","Normal/Others","WS/MP393/2025-2026/167607-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light at Sri Vettri Vinayagar kovil Opposite side, Manatchai Village, Vadakudi Panchayat in Sakkottai Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","23-Oct-2025","499444"
"67","Normal/Others","WS/MP393/2025-2026/167608-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing road at Murugan Stree, Kothamankalam Panchayat in Sakkottai Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","09-Oct-2025","349348"
"68","Normal/Others","WS/MP393/2025-2026/167609-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light at Bus stop in Karisalpatti Panchayat in S. Pudur Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","02-Aug-2025","499957"
"69","Normal/Others","WS/MP393/2025-2026/167611-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near Mariyammankovil, Sovinipatti Village, Natarajapuram Panchayat in Kallal Block","Shri Karti P Chidambaram","SIVAGANGA","Images","28-Oct-2025","494969"
"70","Normal/Others","WS/MP393/2025-2026/167612-Construction of buildings for community cultural activities","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Drama Stage at S. Karaikudi Village, S. Karaikudi Panchayat in Ilayankudi Block","Shri Karti P Chidambaram","SIVAGANGA","Images","30-Sep-2025","944686"
"71","Normal/Others","WS/MP393/2025-2026/167655-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Paver Block Road at Vaalukkuveli Ambalam road, Nagarampatti Village, Nagarampatti Panchayat in Kalaiyarkovil Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","30-Jul-2025","699853"
"72","Normal/Others","WS/MP393/2025-2026/167656-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light at Kalaiyarmangalam Village, Kalaiyarmangalam Panchayat in Kalaiyarkovil Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","30-Jul-2025","499517"
"73","Normal/Others","WS/MP393/2025-2026/167657-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Bus Shelter at K. Siruvanoor Panchayat in Kannangudi Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","29-Aug-2025","599801"
"74","Normal/Others","WS/MP393/2025-2026/167658-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Bus Shelter at Narasimapuram Village, Unjanai Panchayat in Kannankudi Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","10-Sep-2025","599654"
"75","Normal/Others","WS/MP393/2025-2026/167662-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Bore well and Bathing Tub at Ward 6 Thirthankulamkarai, Nattarasankottai Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","01-Aug-2025","400000"
"76","Normal/Others","WS/MP393/2025-2026/167663-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near CSI kallarai Thottam Kaniyan Poonkuntran Street, 5th Ward, Manamadurai Municipality","Shri Karti P Chidambaram","SIVAGANGA","Images","10-Sep-2025","494432"
"77","Normal/Others","WS/MP393/2025-2026/167665-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near Varasandhai Mukappu Udayam Malikaikadai, 7th Ward in Kottaiyur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","07-Feb-2026","484449"
"78","Normal/Others","WS/MP393/2025-2026/167667-Construction of buildings for community cultural activities","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Drama Stage Oppsite Muthumariyamman Kovil, 5th Ward, Kanadukathan Town Panchayat.","Shri Karti P Chidambaram","SIVAGANGA","Images","19-Feb-2026","700000"
"79","Normal/Others","WS/MP393/2025-2026/167668-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light near Kandanur Palaiyur theatre Bus Stop, 3rd Ward in Kandanur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","12-Dec-2025","492023"
"80","Normal/Others","WS/MP393/2025-2026/167670-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Bore Well and Sintex tank at Thiruvalluvar (SC), 5th Ward in Devakottai Municipality","Shri Karti P Chidambaram","SIVAGANGA","Images","29-Oct-2025","450000"
"81","Normal/Others","WS/MP393/2025-2026/167697-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Bore well and Bathing Tub at Periyakottai Village in Periyakottai Panchayat in Manamadurai Block","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Jul-2025","548668"
"82","Normal/Others","WS/MP393/2025-2026/167698-Construction of buildings for crèches and anganwadies","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Anganwadi Building at 21st ward, Manamadurai Municipality","Shri Karti P Chidambaram","SIVAGANGA","Images","05-Jan-2026","1100000"
"83","Normal/Others","WS/MP393/2025-2026/167700-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Street Light at Thiruppathur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","24-Mar-2026","700000"
"84","Normal/Others","WS/MP393/2025-2026/167701-Development of playfields and sports grounds","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Gallery Shed at Kalanivasal, Kaliswaran Football Association Sports ground in Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","Images","13-Oct-2025","500000"
"85","Normal/Others","WS/MP393/2025-2026/167989-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Bus Stop at Mutharaiyar Kudiyeruppu in Kambanur Village, Kambanur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","13-Sep-2025","599495"
